iter	Passed	Remaining
251	603	1791
252	605	1787
253	607	1785
254	610	1782
255	612	1779
256	614	1776
257	616	1773
258	618	1770
259	620	1766
260	623	1764
261	625	1761
262	627	1758
263	629	1755
264	631	1752
265	633	1749
266	636	1746
267	638	1743
268	640	1740
269	643	1739
270	645	1736
271	648	1734
272	650	1731
273	652	1728
274	654	1725
275	656	1722
276	658	1719
277	661	1716
278	663	1713
279	665	1711
280	667	1707
281	669	1705
282	671	1702
283	673	1699
284	676	1696
285	678	1693
286	680	1690
287	682	1687
288	684	1684
289	686	1681
290	688	1678
291	691	1675
292	693	1672
293	695	1670
294	697	1667
295	699	1664
296	701	1661
297	704	1658
298	706	1655
299	708	1652
300	710	1649
301	712	1646
302	714	1643
303	716	1641
304	718	1638
305	721	1635
306	723	1632
307	725	1629
308	727	1626
309	729	1623
310	731	1620
311	733	1618
312	736	1615
313	738	1612
314	740	1610
315	742	1607
316	744	1604
317	747	1602
318	749	1599
319	751	1596
320	753	1593
321	755	1590
322	757	1587
323	759	1585
324	761	1582
325	764	1579
326	766	1577
327	768	1575
328	770	1572
329	773	1569
330	775	1566
331	777	1564
332	779	1561
333	781	1559
334	784	1556
335	786	1553
336	788	1551
337	790	1548
338	792	1545
339	795	1543
340	797	1540
341	799	1538
342	801	1535
343	803	1532
344	805	1530
345	808	1527
346	810	1524
347	812	1521
348	814	1519
349	816	1516
350	818	1514
351	821	1511
352	823	1508
353	825	1506
354	827	1503
355	829	1501
356	831	1498
357	834	1495
358	836	1493
359	838	1490
360	840	1487
361	842	1485
362	844	1482
363	846	1479
364	848	1476
365	851	1474
366	853	1471
367	855	1468
368	857	1466
369	859	1463
370	861	1460
371	863	1458
372	866	1455
373	868	1453
374	870	1451
375	873	1449
376	875	1446
377	877	1444
378	879	1441
379	881	1438
380	884	1436
381	886	1433
382	888	1430
383	890	1428
384	892	1425
385	894	1423
386	896	1420
387	898	1417
388	901	1415
389	903	1412
390	905	1410
391	907	1407
392	909	1405
393	911	1402
394	913	1399
395	916	1397
396	918	1395
397	920	1392
398	922	1390
399	925	1387
400	927	1385
401	929	1382
402	931	1379
403	933	1377
404	935	1374
405	937	1372
406	940	1369
407	942	1367
408	944	1364
409	946	1361
410	948	1359
411	950	1356
412	952	1354
413	954	1351
414	957	1349
415	959	1346
416	961	1343
417	963	1341
418	965	1338
419	967	1336
420	969	1333
421	971	1331
422	974	1328
423	976	1326
424	978	1323
425	980	1320
426	982	1318
427	984	1316
428	986	1313
429	989	1311
430	991	1308
431	993	1305
432	995	1303
433	997	1300
434	999	1297
435	1001	1295
436	1003	1293
437	1005	1290
438	1007	1287
439	1009	1285
440	1012	1282
441	1014	1280
442	1016	1277
443	1018	1275
444	1020	1272
445	1023	1270
446	1025	1268
447	1027	1266
448	1029	1263
449	1031	1261
450	1034	1258
451	1036	1256
